1098.28,1719.74,1759.99,1805.75,1839.91,1986.33,2008.63,2053.04,2080.68,2119.22,2157.58,1129.21,2206.63,2298.48,2341.35,2394.61,2421.11,2452.8,2531.46,2557.5,2609.34,2681.35,1196.85,2717.11,2747.63,2783.08,2853.5,2883.49,1300.37,1360.69,1438.48,1580.27,1656.11,1690.88
51.03,49.51,0,128.148,6.06352e-06,108.009,27.0012,37.2622,5.25033,32.2468,15.5949,24.2372,63.9675,19.3909,3.89023e-07,61.3099,42.5185,407.998,57.2537,4.68247e-07,36.8685,67.3439,191.164,0.0146332,19.3909,233.662,0.406652,0,307.292,1131.14,111.644,99.5665,183.007,83.4163,89.4245,822.084
51.03,50.51,5.10166e-07,40.5574,43.7504,46.7225,0,44.1074,6.92801,0,0,0,15.3593,30.1521,0.321474,13.3439,25.7877,1.34666e-07,36.1306,19.4786,30.4066,50.3704,103.086,0,16.5585,242.803,0,0,378.021,963.158,168.85,69.2114,267.612,52.2297,52.9334,98.7326
51.03,51.51,16.0356,10.7795,0.0424502,39.3318,18.4733,2.22789e-05,8.9851,0.000682311,5.26421,0,4.44033,27.8729,0,15.5871,37.8159,0,18.2176,15.0474,15.3421,33.8374,62.3971,11.8432,20.3748,31.9638,0.40085,0,244.748,671.378,156.344,30.4951,223.246,45.9961,1.56802e-07,44.2507
51.03,52.51,58.4418,5.80579,0,0,0,12.0093,0,15.5414,8.96481,0,12.6433,63.9096,0,21.6923,40.4336,4.38032,27.3548,31.5707,39.9472,45.6846,38.4233,24.1949,6.57143,48.8515,3.86976,1.987e-11,111.489,482.562,135.617,21.921,142.984,17.6813,0,139.721
51.03,53.51,46.2279,0,0,16.7067,0,14.5552,12.4764,6.27699,0,0,0,27.2091,13.8312,6.67564,23.0548,5.08706,5.36762,0,0,0.000192185,39.5591,0.00159342,16.7754,12.5123,2.2337e-08,18.4344,39.5872,102.625,48.0101,36.4458,57.0952,36.1579,0,12.1567
51.03,54.51,38.5938,31.0324,12.3486,10.0172,15.1141,7.51223,16.4853,1.12444,7.32094e-08,0,8.79189,19.1274,0,0,43.7958,1.49631,10.81,15.6094,21.0174,0.000210004,8.25206,2.07176,1.6895,21.714,0.226885,1.51938,33.2114,26.8498,32.5715,21.3719,54.244,28.3355,20.0278,17.6204
51.03,55.51,13.5795,20.9504,23.8036,20.5551,15.6465,8.52946,11.9801,1.57409,0,11.4504,12.8513,16.9837,1.69933,1.30354e-07,39.2521,6.69348,0,11.833,11.7873,0,32.2675,2.33595,9.84919,3.08706,5.86357,28.6131,12.5157,23.137,42.4103,25.2274,57.016,23.3055,7.24963,37.156
51.03,56.51,0,39.3233,1.84075,1.04711e-05,0,19.2222,24.7696,0,9.32838,0.328471,6.13853,11.9541,10.5108,6.47284,43.4319,0.308587,21.6188,0.241305,7.23226,9.50262,7.4228,3.18855,0,0,10.4257,7.23536,19.1446,9.49715,44.0197,33.1019,61.1993,31.3484,8.83567,0.345084
51.03,57.51,50.6494,21.3676,0.0957727,8.17555,12.4418,10.7158,8.63704,7.19556,8.097,10.0877,2.37532,13.7263,0,9.59091e-06,29.3292,0,8.11661,9.42234,12.6042,16.2025,17.4344,2.18962e-06,7.23972,5.24252,6.11549,21.6435,0,25.0184,35.0569,28.7576,58.9417,17.918,12.6608,0.000399102
51.03,58.51,0,7.19239,0.0216202,11.7694,12.4317,0,6.68872,8.35317,11.7807,0.0127048,12.8326,13.3796,0,10.6557,31.2219,10.319,6.19301,11.3726,13.3253,0,22.5546,10.5041,0,13.9772,21.1664,18.6297,7.92288,35.6535,14.8213,14.9548,44.5578,36.6391,15.9581,15.3913
52.03,49.51,2.79421e-06,22.6162,54.5187,57.4597,0,68.8957,0,12.7818,0,15.9111,47.0574,0,0,50.8835,0,0,0,0,8.03396,0.0129472,239.322,0,31.2869,301.54,0,0,26.7689,935.644,158.936,0,190.24,0,100.024,0
52.03,50.51,0,0.0141822,0,0,12.5094,0,1.07235,0,0,3.93903,0,57.7634,22.9512,0,68.0663,13.9498,0,0.232453,0,50.8696,13.5991,0,12.6049,3.21764,0,0,128.466,683.06,123.631,37.4171,174.415,18.4521,1.9107e-07,0
52.03,51.51,30.6368,10.335,0,2.52995,4.92374,1.86377e-07,8.32564,0,11.5584,0.797655,12.9497,60.3293,0,33.8697,51.605,0,3.35588,0,0,112.722,0,38.3026,1.4983e-08,87.7737,0,8.58792e-06,183.29,796.628,92.1463,33.1838,158.955,19.4227,9.97947,0
52.03,52.51,27.3901,0,0,11.1893,7.12382,0,11.512,4.38814,3.44947,0,6.99311,40.0173,15.3349,17.2281,19.427,22.6557,24.7459,0,0,27.3599,88.006,28.588,8.54593,94.3984,0,0,352.243,562.977,112.472,36.5463,152.105,6.68778,16.3874,9.16358
52.03,53.51,0,0,4.21436,0,13.2709,0,8.28583,0,0,0,13.6822,45.3461,0,12.4061,27.3194,7.07098,3.04284,4.15006,5.80168,3.43348,9.00886,19.8828,8.20408,0.505205,1.01322,6.04734,11.906,113.268,37.8717,29.0305,76.5149,0,22.5727,0
52.03,54.51,23.5824,8.42977,6.751,24.4278,0.0277384,14.6924,7.69252,22.8214,6.26869,13.9819,9.99408,0,0.995796,8.78141,20.5476,10.3263,11.0224,2.057,14.4352,3.80526,15.682,0,14.0634,5.96482,6.91546,11.0729,12.2062,25.1947,23.3341,30.8399,53.0312,38.2575,19.9499,15.1875
