X kHz			Y a.u.
64.3936			5.72838
64.3691			5.72779
64.3447			5.72722
64.3203			5.72666
64.2959			5.72611
64.2715			5.72557
64.2471			5.72505
64.2227			5.72454
64.1982			5.72404
64.1738			5.72355
64.1494			5.72307
64.125			5.7226
64.1006			5.72214
64.0762			5.7217
64.0518			5.72126
64.0273			5.72083
64.0029			5.72041
63.9785			5.72
63.9541			5.71959
63.9297			5.7192
63.9053			5.71881
63.8809			5.71843
63.8564			5.71806
63.832			5.7177
63.8076			5.71734
63.7832			5.71699
63.7588			5.71665
63.7344			5.71632
63.71			5.71599
63.6855			5.71566
63.6611			5.71535
63.6367			5.71504
63.6123			5.71473
63.5879			5.71443
63.5635			5.71414
63.5391			5.71385
63.5146			5.71357
63.4902			5.71329
63.4658			5.71302
63.4414			5.71275
63.417			5.71249
63.3926			5.71223
63.3682			5.71198
63.3438			5.71173
63.3193			5.71148
63.2949			5.71124
63.2705			5.71101
63.2461			5.71078
63.2217			5.71055
63.1973			5.71032
63.1729			5.7101
63.1484			5.70989
63.124			5.70967
63.0996			5.70946
63.0752			5.70926
63.0508			5.70906
63.0264			5.70886
63.002			5.70866
62.9775			5.70847
62.9531			5.70828
62.9287			5.70809
62.9043			5.70791
62.8799			5.70773
62.8555			5.70755
62.8311			5.70737
62.8066			5.7072
62.7822			5.70703
62.7578			5.70686
62.7334			5.7067
62.709			5.70654
62.6846			5.70638
62.6602			5.70622
62.6357			5.70607
62.6113			5.70591
62.5869			5.70576
62.5625			5.70562
62.5381			5.70547
62.5137			5.70533
62.4893			5.70518
62.4648			5.70504
62.4404			5.70491
62.416			5.70477
62.3916			5.70464
62.3672			5.70451
62.3428			5.70438
62.3184			5.70425
62.2939			5.70412
