X kHz			Y a.u.
70.5703			5.68979
70.5947			5.69184
70.6191			5.57867
70.6436			5.59885
70.668			5.67521
70.6924			5.62839
70.7168			5.62175
70.7412			5.6644
70.7656			5.6777
70.79			5.59321
70.8145			5.64577
70.8389			5.66942
70.8633			5.64378
70.8877			5.63249
70.9121			5.60447
70.9365			5.63633
70.9609			5.61985
70.9854			5.61535
71.0098			5.66935
71.0342			5.69249
71.0586			5.65392
71.083			5.58491
71.1074			5.66834
71.1318			5.63227
71.1562			5.6473
71.1807			5.6305
71.2051			5.66857
71.2295			5.63448
71.2539			5.66901
71.2783			5.59993
71.3027			5.7144
71.3271			5.59396
71.3516			5.66108
71.376			5.67154
71.4004			5.58199
71.4248			5.67278
71.4492			5.62501
71.4736			5.60385
71.498			5.62957
71.5225			5.63412
71.5469			5.70048
71.5713			5.59869
71.5957			5.64998
71.6201			5.66334
71.6445			5.58376
71.6689			5.61105
71.6934			5.67101
71.7178			5.67686
71.7422			5.62834
71.7666			5.61707
71.791			5.57293
71.8154			5.59037
71.8398			5.6519
71.8643			5.58261
71.8887			5.70308
71.9131			5.59003
71.9375			5.64226
71.9619			5.67596
71.9863			5.56077
72.0107			5.5866
72.0352			5.61609
72.0596			5.77318
72.084			5.59303
72.1084			5.60098
72.1328			5.63087
72.1572			5.64761
72.1816			5.63128
72.2061			5.63563
72.2305			5.75701
72.2549			5.54885
