150			-5826
149.9			-5828
149.8			-5833
149.7			-5833
149.6			-5839
149.5			-5830
149.4			-5848
149.3			-5838
149.2			-5843
149.1			-5846
149			-5851
148.9			-5842
148.8			-5846
148.699			-5837
148.599			-5832
148.499			-5839
148.399			-5838
148.299			-5840
148.199			-5834
148.099			-5839
147.999			-5840
147.899			-5836
147.799			-5837
147.699			-5842
147.599			-5835
147.499			-5835
147.399			-5837
147.299			-5837
147.199			-5838
147.099			-5834
146.999			-5827
146.899			-5842
146.799			-5838
146.699			-5846
146.599			-5842
146.499			-5841
146.399			-5845
146.299			-5842
146.198			-5841
146.098			-5839
145.998			-5843
145.898			-5835
145.798			-5838
145.698			-5843
145.598			-5834
145.498			-5849
145.398			-5849
145.298			-5843
145.198			-5838
145.098			-5849
144.998			-5846
144.898			-5843
144.798			-5849
144.698			-5856
144.598			-5854
144.498			-5855
144.398			-5859
144.298			-5853
144.198			-5850
144.098			-5862
143.998			-5848
143.898			-5850
143.798			-5851
143.697			-5863
143.597			-5858
143.497			-5852
143.397			-5861
143.297			-5852
143.197			-5845
143.097			-5858
142.997			-5867
142.897			-5859
142.797			-5850
142.697			-5855
142.597			-5849
142.497			-5846
142.397			-5853
142.297			-5856
142.197			-5857
142.097			-5853
141.997			-5863
141.897			-5863
141.797			-5862
141.697			-5855
141.597			-5860
141.497			-5856
141.397			-5862
141.297			-5858
141.196			-5865
141.096			-5867
140.996			-5863
140.896			-5852
140.796			-5862
140.696			-5865
140.596			-5868
140.496			-5862
140.396			-5870
140.296			-5866
140.196			-5864
140.096			-5857
139.996			-5860
139.896			-5864
139.796			-5856
139.696			-5861
139.596			-5859
139.496			-5863
139.396			-5865
139.296			-5859
139.196			-5871
139.096			-5870
138.996			-5876
138.896			-5868
138.796			-5865
138.695			-5869
138.595			-5861
138.495			-5867
138.395			-5858
138.295			-5863
138.195			-5859
138.095			-5855
137.995			-5855
137.895			-5854
137.795			-5852
137.695			-5873
137.595			-5869
137.495			-5872
137.395			-5867
137.295			-5868
137.195			-5865
137.095			-5868
136.995			-5862
136.895			-5859
136.795			-5851
136.695			-5851
136.595			-5867
136.495			-5862
136.395			-5866
136.295			-5860
136.194			-5870
136.094			-5870
135.994			-5842
135.894			-5863
135.794			-5870
135.694			-5869
135.594			-5860
135.494			-5869
135.394			-5863
135.294			-5857
135.194			-5854
