Z (um),Deflection (um)
0.1208,-0.014508
0.1207,-0.014516
0.1206,-0.014513
0.1205,-0.014534
0.1204,-0.014496
0.1203,-0.014528
0.1202,-0.014502
0.1201,-0.014479
0.12,-0.014502
0.1199,-0.014511
0.1198,-0.014531
0.1197,-0.014522
0.1196,-0.014542
0.1195,-0.014519
0.1194,-0.014513
0.1193,-0.014493
0.1192,-0.014508
0.1191,-0.014485
0.119,-0.014479
0.1189,-0.014485
0.1188,-0.014476
0.1187,-0.014513
0.1186,-0.014473
0.1185,-0.01449
0.1184,-0.014493
0.1183,-0.014496
0.1182,-0.014516
0.1181,-0.014488
0.118,-0.014493
0.1179,-0.014508
0.1178,-0.014511
0.1177,-0.014488
0.1176,-0.014496
0.1175,-0.014519
0.1174,-0.014539
0.1173,-0.014525
0.1172,-0.014554
0.1171,-0.014536
0.117,-0.014534
0.1169,-0.014559
0.1168,-0.014559
0.1167,-0.014557
0.1166,-0.014542
0.1165,-0.014516
0.1164,-0.014534
0.1163,-0.014519
0.1162,-0.014528
0.1161,-0.014542
0.116,-0.014534
0.1159,-0.014525
0.1158,-0.014548
0.1157,-0.014528
0.1156,-0.014528
0.1155,-0.014534
0.1154,-0.014545
0.1153,-0.014542
0.1152,-0.014525
0.1151,-0.014519
0.115,-0.014548
0.1149,-0.014542
0.1148,-0.014568
0.1147,-0.01449
0.1146,-0.014536
0.1145,-0.014557
0.1144,-0.014559
0.1143,-0.014539
0.1142,-0.014502
0.1141,-0.014528
0.114,-0.014534
0.1139,-0.014528
0.1138,-0.014528
0.1137,-0.014516
0.1136,-0.014522
0.1135,-0.014516
0.1134,-0.014545
0.1133,-0.014545
0.1132,-0.0146
0.1131,-0.014554
0.113,-0.014548
0.1129,-0.014559
0.1128,-0.014542
0.1127,-0.014554
0.1126,-0.014505
0.1125,-0.014502
0.1124,-0.014513
0.1123,-0.014545
0.1122,-0.014531
0.1121,-0.014534
0.112,-0.014519
0.1119,-0.014559
0.1118,-0.014511
0.1117,-0.014522
0.1116,-0.014554
0.1115,-0.014554
0.1114,-0.014574
0.1113,-0.014582
0.1112,-0.014606
0.1111,-0.014528
0.111,-0.014554
0.1109,-0.014548
0.1108,-0.014557
0.1107,-0.014557
0.1106,-0.014554
0.1105,-0.014571
0.1104,-0.014536
0.1103,-0.014548
0.1102,-0.014565
0.1101,-0.014565
0.11,-0.014545
0.1099,-0.01458
0.1098,-0.014571
0.1097,-0.014548
0.1096,-0.014545
0.1095,-0.014511
0.1094,-0.014548
0.1093,-0.014554
0.1092,-0.014551
0.1091,-0.014559
0.109,-0.014554
0.1089,-0.014559
0.1088,-0.014577
0.1087,-0.014577
0.1086,-0.014557
0.1085,-0.014557
0.1084,-0.014545
0.1083,-0.014565
0.1082,-0.01458
0.1081,-0.014585
0.108,-0.014594
0.1079,-0.014562
0.1078,-0.014551
0.1077,-0.014531
0.1076,-0.014528
0.1075,-0.014545
0.1074,-0.014531
0.1073,-0.014565
0.1072,-0.014571
0.1071,-0.014571
0.107,-0.014554
0.1069,-0.014551
0.1068,-0.014571
0.1067,-0.014565
0.1066,-0.014548
0.1065,-0.014582
0.1064,-0.014588
0.1063,-0.014559
0.1062,-0.014571
0.1061,-0.014554
0.106,-0.014534
0.1059,-0.014565
0.1058,-0.014562
0.1057,-0.014554
0.1056,-0.014548
0.1055,-0.014582
0.1054,-0.014562
0.1053,-0.014551
0.1052,-0.014565
0.1051,-0.014577
0.105,-0.014574
0.1049,-0.014574
0.1048,-0.01458
0.1047,-0.014585
0.1046,-0.014606
0.1045,-0.014559
0.1044,-0.014565
0.1043,-0.014565
0.1042,-0.014554
0.1041,-0.014608
0.104,-0.014594
0.1039,-0.014611
0.1038,-0.014562
0.1037,-0.014554
0.1036,-0.014536
0.1035,-0.014557
0.1034,-0.014585
0.1033,-0.0146
0.1032,-0.014562
0.1031,-0.014568
0.103,-0.014603
0.1029,-0.01462
0.1028,-0.014611
0.1027,-0.014568
0.1026,-0.014559
0.1025,-0.014571
0.1024,-0.014562
0.1023,-0.014551
0.1022,-0.014554
0.1021,-0.014548
0.102,-0.014562
0.1019,-0.014559
0.1018,-0.01458
0.1017,-0.014631
0.1016,-0.0146
0.1015,-0.014585
0.1014,-0.014565
0.1013,-0.01458
0.1012,-0.014594
0.1011,-0.014588
0.101,-0.014585
0.1009,-0.014597
0.1008,-0.0146
0.1007,-0.01464
0.1006,-0.014657
0.1005,-0.014631
0.1004,-0.014606
0.1003,-0.014617
0.1002,-0.01458
0.1001,-0.014597
