Z (um),Deflection (um)
0.10135,-0.012232
0.1012,-0.012217
0.10105,-0.012209
0.1009,-0.012206
0.10075,-0.012237
0.1006,-0.0122
0.10045,-0.01222
0.1003,-0.012229
0.10015,-0.012214
0.1,-0.012223
0.09985,-0.012246
0.0997,-0.012272
0.09955,-0.012283
0.0994,-0.012269
0.09925,-0.01226
0.0991,-0.012258
0.09895,-0.012252
0.0988,-0.01224
0.09865,-0.012229
0.0985,-0.012229
0.09835,-0.012223
0.0982,-0.012226
0.09805,-0.012209
0.0979,-0.0122
0.09775,-0.01224
0.0976,-0.012252
0.09745,-0.012246
0.0973,-0.012263
0.09715,-0.012255
0.097,-0.012283
0.09685,-0.012272
0.0967,-0.012249
0.09655,-0.012252
0.0964,-0.01224
0.09625,-0.012286
0.0961,-0.012295
0.09595,-0.012258
0.0958,-0.012252
0.09565,-0.012235
0.0955,-0.01226
0.09535,-0.012306
0.0952,-0.012278
0.09505,-0.012243
0.0949,-0.01226
0.09475,-0.012278
0.0946,-0.012235
0.09445,-0.012243
0.0943,-0.01224
0.09415,-0.012255
0.094,-0.012263
0.09385,-0.012281
0.0937,-0.012278
0.09355,-0.012275
0.0934,-0.012235
0.09325,-0.012255
0.0931,-0.01224
0.09295,-0.01224
0.0928,-0.012266
0.09265,-0.012246
0.0925,-0.012272
0.09235,-0.012246
0.0922,-0.012237
0.09205,-0.012275
0.0919,-0.012272
0.09175,-0.012269
0.0916,-0.012263
0.09145,-0.012246
0.0913,-0.01226
0.09115,-0.012255
0.091,-0.012232
0.09085,-0.012246
0.0907,-0.012252
0.09055,-0.012286
0.0904,-0.012269
0.09025,-0.01226
0.0901,-0.012289
0.08995,-0.012281
0.0898,-0.01226
0.08965,-0.012266
0.0895,-0.012266
0.08935,-0.012272
0.0892,-0.012295
0.08905,-0.012283
0.0889,-0.012301
0.08875,-0.012295
0.0886,-0.012289
0.08845,-0.012295
0.0883,-0.012312
0.08815,-0.012295
0.088,-0.012304
0.08785,-0.012292
0.0877,-0.012289
0.08755,-0.012295
0.0874,-0.012283
0.08725,-0.012269
0.0871,-0.012235
0.08695,-0.012252
0.0868,-0.012269
0.08665,-0.012272
0.0865,-0.012281
0.08635,-0.012275
0.0862,-0.012283
0.08605,-0.012281
0.0859,-0.012266
0.08575,-0.012266
0.0856,-0.012255
0.08545,-0.012289
0.0853,-0.012278
0.08515,-0.012278
0.085,-0.012278
0.08485,-0.01226
0.0847,-0.012229
0.08455,-0.01226
0.0844,-0.012275
0.08425,-0.012263
0.0841,-0.012269
0.08395,-0.012332
0.0838,-0.012324
0.08365,-0.012298
0.0835,-0.012301
0.08335,-0.012298
0.0832,-0.012301
0.08305,-0.012304
0.0829,-0.012306
0.08275,-0.012301
0.0826,-0.012272
0.08245,-0.012289
0.0823,-0.012283
0.08215,-0.012286
0.082,-0.012315
0.08185,-0.012306
0.0817,-0.012295
0.08155,-0.012324
0.0814,-0.012335
0.08125,-0.012269
0.0811,-0.012269
0.08095,-0.012298
0.0808,-0.012304
0.08065,-0.012286
0.0805,-0.012324
0.08035,-0.012304
0.0802,-0.012304
0.08005,-0.012309
0.0799,-0.012272
0.07975,-0.012275
0.0796,-0.012278
0.07945,-0.012275
0.0793,-0.012298
0.07915,-0.012263
0.079,-0.012315
0.07885,-0.012318
0.0787,-0.012289
0.07855,-0.012327
0.0784,-0.012327
0.07825,-0.012315
0.0781,-0.012318
0.07795,-0.012286
0.0778,-0.012312
0.07765,-0.012324
0.0775,-0.01233
0.07735,-0.012286
0.0772,-0.012304
0.07705,-0.012298
0.0769,-0.012315
0.07675,-0.012309
0.0766,-0.012318
0.07645,-0.012335
0.0763,-0.012312
0.07615,-0.01233
0.076,-0.012301
0.07585,-0.012301
0.0757,-0.012332
0.07555,-0.01235
0.0754,-0.012341
0.07525,-0.012335
0.0751,-0.01233
0.07495,-0.01235
0.0748,-0.012358
0.07465,-0.012378
0.0745,-0.012353
0.07435,-0.012353
0.0742,-0.012355
0.07405,-0.012332
0.0739,-0.012364
0.07375,-0.012335
0.0736,-0.012355
0.07345,-0.012338
0.0733,-0.01237
0.07315,-0.012355
0.073,-0.012318
0.07285,-0.012327
0.0727,-0.012286
0.07255,-0.012312
0.0724,-0.012335
0.07225,-0.012318
0.0721,-0.012347
0.07195,-0.012361
0.0718,-0.012361
0.07165,-0.012321
0.0715,-0.012338
0.07135,-0.012358
0.0712,-0.012358
0.07105,-0.012324
0.0709,-0.01233
0.07075,-0.01235
0.0706,-0.012332
0.07045,-0.012376
0.0703,-0.01235
0.07015,-0.012347
0.07,-0.012344
0.06985,-0.012361
0.0697,-0.012413
0.06955,-0.012396
0.0694,-0.012384
0.06925,-0.012376
0.0691,-0.01233
0.06895,-0.012353
0.0688,-0.012358
0.06865,-0.012341
0.0685,-0.012376
0.06835,-0.012347
0.0682,-0.01233
0.06805,-0.012358
0.0679,-0.012384
0.06775,-0.012387
0.0676,-0.012373
0.06745,-0.012358
0.0673,-0.012347
0.06715,-0.012358
0.067,-0.012376
0.06685,-0.012401
0.0667,-0.012367
0.06655,-0.012344
0.0664,-0.012396
0.06625,-0.01241
0.0661,-0.012401
0.06595,-0.012399
0.0658,-0.012353
0.06565,-0.01235
0.0655,-0.012344
0.06535,-0.012332
0.0652,-0.012358
0.06505,-0.01239
0.0649,-0.012361
0.06475,-0.012353
0.0646,-0.012384
0.06445,-0.012378
0.0643,-0.012404
0.06415,-0.012396
0.064,-0.012376
0.06385,-0.012404
0.0637,-0.012384
0.06355,-0.012393
0.0634,-0.012373
0.06325,-0.012381
0.0631,-0.012401
0.06295,-0.012387
0.0628,-0.012393
0.06265,-0.012396
0.0625,-0.01241
0.06235,-0.01241
0.0622,-0.012413
0.06205,-0.012353
0.0619,-0.012358
0.06175,-0.012327
0.0616,-0.01237
0.06145,-0.012384
0.0613,-0.012401
0.06115,-0.012404
0.061,-0.012404
0.06085,-0.012401
0.0607,-0.012404
0.06055,-0.012427
0.0604,-0.01241
0.06025,-0.012419
0.0601,-0.012407
0.05995,-0.012404
0.0598,-0.012364
0.05965,-0.012384
0.0595,-0.012347
0.05935,-0.01239
0.0592,-0.01239
0.05905,-0.012376
0.0589,-0.012393
0.05875,-0.012407
0.0586,-0.012422
0.05845,-0.012427
0.0583,-0.012439
0.05815,-0.012442
0.058,-0.012381
0.05785,-0.012367
0.0577,-0.01243
0.05755,-0.012462
