7194882441.79383,4031671268.85972,2560282524.87953,4881692639.24458,51870901.8264487,8294292084.39833,2882715645.22981,4417642345.82333,151622856.242298,4656585596.94828,6612480232.2929,13105785359.3052,52471317367.8048,1035109915.49585,2543819592.16747,2400621054.74144,338591968.645156,1631200253.78231,3358908113.76264,10213166990.3785
852097940.91462,4175193376.59247,2001002924.67464,4330317640.63243,1664482079.2459,16046819844.4863,1570229321.29398,382127237.40526,3054782059.07512,8567650245.49602,2563961860.67983,8527663032.63156,866902244.879144,84489385.7591926,2433682637.84233,1216330731.40206,520726458.211407,3107062988.63124,1902675533.73777,910971390.43819
86938155.8710736,13231705573.0354,831328763.493597,3218623044.03885,28159405.3995209,6265097421.91653,4865667038.29369,9968935734.84514,1673206026.01723,3485055310.84959,5635407336.02999,2408455727.88051,4557273562.84126,3828204651.71262,3484122002.55857,3965342018.59482,2798972368.16298,62838196.3861176,3730513567.23772,2078920029.40118
587503229.946991,41171078860.3698,1066666278.11449,857790653.568046,1773378713.46997,1391698978.88927,3709869193.8638,1887909810.13079,94106098836.1446,1491811773.65605,12885694525.4703,1803065917.33957,2812080010.99014,5730094850.93615,3984680252.78338,40944241.7480466,2274105119.34719,7310545442.2763,2195070961.84897,8290169259.65443
2467959075.15082,258630556.874292,31486079343.7327,2369911067.27788,34463208.8982688,11955427834.9486,3567222013.07584,21335790973.9667,8325005230.37381,5751305194.31008,4911791270.39425,3094849047.57818,2780201755.76432,8373653249.55027,11617024660.9975,3647611407.69523,7964080014.68568,4168682299.64373,104665668780.781,6343128300.70819
549141805.158337,527951294.110944,3201672602.35507,3832994615.07777,2360202142.86162,5755098326.9238,2109933500.03007,2344916995.24676,70423445.2670879,19972165145.9389,2455303156.20981,4678727889.1892,1187787352.5936,5262032486.24127,53089398.6431076,1049994691.94293,9640547246.78951,1483941357.09206,3366904818.74727,1201979943.15823
2053140815.82491,10464162569.3908,1253300326.88194,1071029341.58935,2347752879.57853,8636205896.69352,8512460670.5177,40387959.680942,3758852347.76577,4101884587.6324,1425997476.38893,322836136.185316,1389676489.00745,3922174677.70794,2941943170.31718,2553716987.80536,14332812403.6569,7241619772.93728,1670014242.74708,1372882438.65824
254716486.536722,246814604.262668,2836442837.74791,2065559664.63717,13223393676.3477,1517830125.35199,2809150036.67136,5382047039.27064,825228481.666455,2760409687.5549,3784827432.03699,4380355324.19619,2861577032.78373,11298945241.1538,10256912467.8251,4325049394.22568,5474563695.57353,730874156.670946,3815182023.77161,2980613008.16827
3508647529.36093,310812568.994245,521931717.349344,2723408180.70646,339174036.523438,3236349498.73283,1439070068.18365,880364699.429126,1012677221.72016,125676165.102228,1406570742.39728,6328532118.21204,5438819142.05177,2026508621.02435,1880982155.91253,15261086842.6698,1734571238.54874,1889713202.40581,11370064173.8306,8626142259.76392
155185598.257545,52913486.7391346,760136895.069807,95443008.9086996,830361310.922685,1287490238.05535,258090973.334934,1619008203.90045,5168568631.55437,2182288387.42466,885187433.406151,4704989833.78962,627069262.906521,8744188765.45655,1878475468.19665,1308211949.03149,2871769450.51019,5633495423.44694,4591820175.42794,5962230762.42828
